UF;Cidade;vendas;produtos;itens;venda_total;ticket_medio;mes;cancelada;periodo
MG;SANTO ANTÔNIO DO MANHUAÇU;67;1317;4007;22260,85;332,25;202211;FALSO;2022-11-01 00:00:00
MG;Penha do Capim;30;949;4753;28574,67;952,49;202211;FALSO;2022-11-01 00:00:00
MG;Santa Bárbara do Leste;19;271;846;3809,88;200,52;202211;FALSO;2022-11-01 00:00:00
MG;Santa Rita de Minas;3;92;264;1146,91;382,3;202211;FALSO;2022-11-01 00:00:00
MG;Manhuaçu;3;67;177;1255,76;418,59;202211;FALSO;2022-11-01 00:00:00
MG;Martins Soares;4;153;414;2062,34;515,59;202211;FALSO;2022-11-01 00:00:00
MG;Manhumirim;2;103;238;1074,91;537,46;202211;FALSO;2022-11-01 00:00:00
MG;Inhapim;1;3;11;187,67;187,67;202211;FALSO;2022-11-01 00:00:00
MG;Ipanema;1674;34844;72213;460787,75;275,26;202212;FALSO;2022-12-01 00:00:00
MG;Pocrane;171;3757;10844;63042,83;368,67;202212;FALSO;2022-12-01 00:00:00
MG;Taparuba;121;3797;8126;52795,27;436,32;202212;FALSO;2022-12-01 00:00:00
MG;Conceição de Ipanema;135;3713;7882;55747,09;412,94;202212;FALSO;2022-12-01 00:00:00
MG;Santana do Manhuaçu;185;5166;12014;75298,54;407,02;202212;FALSO;2022-12-01 00:00:00
MG;Simonésia;310;8749;18417;109216,95;352,31;202212;FALSO;2022-12-01 00:00:00
MG;Manhuaçu;183;4361;11878;75144,48;410,63;202212;FALSO;2022-12-01 00:00:00
MG;São José do Mantimento;81;2634;5791;39565,25;488,46;202212;FALSO;2022-12-01 00:00:00
MG;Reduto;12;348;1356;5496,31;458,03;202212;FALSO;2022-12-01 00:00:00
MG;Aimorés;211;5664;12578;80038,81;379,33;202212;FALSO;2022-12-01 00:00:00
MG;Expedicionário Alício;95;2343;6704;44492,15;468,34;202212;FALSO;2022-12-01 00:00:00
MG;Conceição do Capim;53;1180;2771;21159,17;399,23;202212;FALSO;2022-12-01 00:00:00
MG;Resplendor;220;4723;11484;73532,52;334,24;202212;FALSO;2022-12-01 00:00:00
MG;Itueta;101;2390;5225;35500,71;351,49;202212;FALSO;2022-12-01 00:00:00
MG;Quatituba;61;1316;4011;24616,43;403,55;202212;FALSO;2022-12-01 00:00:00
ES;Baixo Guandu;171;3572;9303;56535,42;330,62;202212;FALSO;2022-12-01 00:00:00
MG;Caratinga;15;213;2434;8981,48;598,77;202212;FALSO;2022-12-01 00:00:00
